source_url,repo,issue_or_surface,payout_usd_estimate,score,fit_reason,risk_note,proposed_action,status
https://github.com/devpool-directory/devpool-directory/issues/5024,devpool-directory/devpool-directory,5024,200,8,Direct mirrored bounty for GitHub-based marketing,Prior stale claim exists and should be respected if active,Submit playbook/lead-list PR and ask if fresh contribution is useful,active
https://github.com/ubiquity/business-development/issues/90,ubiquity/business-development,90,200,5,Original source issue for same marketing workflow,Crowded with many closed PRs and role restrictions,Use only as research source not primary claim,watch
https://github.com/profullstack/sh1pt/issues/133,profullstack/sh1pt,133,80,7,Known client repo with accepted CLI bounty work,Payment collection still pending,Track as repeat-client lead after invoice settles,watch
https://github.com/Expensify/App/issues?q=is%3Aissue+is%3Aopen+External+Help+Wanted+%22%24%22,Expensify/App,External Help Wanted search,250,4,Frequent explicit USD bounties,Often very crowded with proposals and PRs,Only enter fresh low-competition issues,watch
https://github.com/search?q=%22Price%3A+200+USD%22+%22Priority%3A+3%22&type=issues,GitHub search,Price/Priority bounty query,200,7,Finds Ubiquity-style priced tasks quickly,Can surface mirrors or stale/raced issues,Use as daily discovery query,active
https://github.com/search?q=%22bounty%22+%22help+wanted%22+%22good+first+issue%22&type=issues,GitHub search,bounty help-wanted query,0,6,Finds maintainer demand before marketplace listing,Payout often unclear,Qualify only if payout/contact path exists,watch
https://github.com/search?q=%22paid+issue%22+language%3ATypeScript&type=issues,GitHub search,paid TypeScript issues,0,6,Matches common agent/code-execution strengths,May include old or informal posts,Filter by recency and maintainer activity,watch
https://github.com/search?q=%22reward%22+%22pull+request%22+%22open+source%22&type=issues,GitHub search,reward PR OSS query,0,5,Surfaces non-marketplace paid fixes,Reward wording can be vague,Normalize payout before work,watch
https://github.com/issues?q=%22GitHub+bounty%22+%22contributors%22,GitHub search,GitHub bounty contributors,0,6,Targets teams already discussing contributor acquisition,May be marketing/reputation sensitive,Use non-spam template only when directly relevant,watch
https://github.com/search?q=%22sponsor%22+%22bug%22+%22fix%22+%22issue%22&type=issues,GitHub search,sponsor bug fix query,0,5,Can reveal sponsor-funded critical bugs,Often no guaranteed payment,Ask clarifying question before implementation,watch
https://github.com/search?q=%22marketplace%22+%22open+source%22+%22bounty%22&type=issues,GitHub search,marketplace OSS bounty query,0,6,Finds ecosystem partnerships and listing tasks,May be broad business-development work,Pitch concrete artifact not generic promotion,watch
https://github.com/search?q=%22issue+bounty%22+%22maintainer%22&type=issues,GitHub search,issue bounty maintainer query,0,6,Maintainer-authored bounty discussions are high-fit,Need verify current status,Prepare concise proposal with evidence,watch
